unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
3.3798308;84.984375;-4.59375;52.40625;
3.389953;101.1875;-4.9375;51.125;
3.400783;122.125;-3.890625;48.90625;
3.4108698;69.515625;3.640625;48.703125;
3.420269;155.82813;-2.859375;40.828125;
3.4311197;194.25;-8.9375;34.9375;
3.4412427;214.48438;-8.1875;33.953125;
3.4513688;224.75;-5.484375;35.875;
3.4614198;225.10938;-7.609375;35.171875;
3.4714959;225.23438;-12.328125;32.09375;
3.481613;225.3125;-15.65625;29.328125;
3.4917648;225.32813;-16.890625;28.59375;
3.5017908;225.21875;-17.5625;29.09375;
3.512526;224.96875;-17.5625;30.703125;
3.522723;224.54688;-18.625;32.046875;
3.532248;219.57813;-19.390625;34.015625;
3.5423558;215.29688;-19.859375;36.078125;
3.5523279;214.85938;-20.578125;37.859375;
3.562552;210.01563;-21.1875;39.515625;
3.5762088;205.76563;-23.109375;41.546875;
3.5845418;205.51563;-23.109375;41.546875;
3.5946589;205.28125;-24.15625;41.5625;
3.605443;205.04688;-25.4375;41.90625;
3.6152277;204.90625;-26.390625;41.171875;
3.625123;204.85938;-26.90625;40.125;
3.6349978;204.90625;-26.90625;39.359375;
3.6451178;205.04688;-26.78125;38.359375;
3.6551528;205.25;-27.046875;37.546875;
3.6656308;205.53125;-27.375;36.765625;
3.6755948;205.82813;-27.609375;36.5625;
3.68572;206.09375;-27.65625;37.109375;
3.695981;206.26563;-26.4375;39.03125;
3.705998;206.32813;-24.15625;41.5;
3.716035;206.375;-22.8125;41.9375;
3.726785;206.54688;-22.5;40.78125;
3.736981;206.8125;-23.203125;39.203125;
3.746197;207.17188;-23.96875;37.375;
3.756078;207.59375;-24.578125;36.0;
3.766162;208.01563;-25.15625;35.3125;
3.776366;208.35938;-25.046875;36.171875;
3.786509;208.57813;-23.90625;37.859375;
3.7964988;208.67188;-21.59375;40.3125;
3.806731;208.57813;-18.53125;43.1875;
3.8167908;208.375;-15.140625;45.46875;
3.826717;208.09375;-12.171875;46.78125;
3.8368158;207.79688;-10.140625;47.40625;
3.846959;207.5;-8.78125;47.609375;
3.858027;207.15625;-8.046875;48.0625;
3.8673239;206.73438;-8.28125;48.53125;
3.8774219;203.125;-8.875;48.75;
3.887292;202.73438;-9.5;49.609375;
3.897367;199.01563;-10.1875;50.0625;
3.907639;198.71875;-10.96875;50.03125;
3.917572;198.34375;-11.0625;50.1875;
3.927652;198.14063;-10.546875;48.625;
3.9378188;198.125;-9.671875;46.984375;
3.948474;198.34375;-8.28125;45.578125;
3.957925;202.26563;-6.625;44.25;
3.968069;206.51563;-5.046875;43.453125;
3.9783678;212.29688;-3.078125;42.296875;
3.988631;220.1875;-0.640625;41.90625;
3.9982429;228.46875;1.03125;42.21875;
4.008318;240.3125;2.625;43.0;
4.019078;260.8125;4.28125;44.28125;
4.0286818;291.95313;5.125;46.3125;
4.038661;321.54688;5.9375;47.328125;
4.048769;344.17188;6.875;48.578125;
4.0587916;1.09375;7.75;50.5;
4.068864;12.265625;7.75;51.84375;
4.0790687;18.359375;8.953125;53.0625;
4.089205;22.125;9.953125;54.484375;
4.099429;22.34375;10.75;55.3125;
4.109564;22.515625;11.0;55.640625;
4.119443;22.640625;11.171875;55.859375;
4.129476;22.6875;11.859375;56.0;
4.1395617;22.71875;12.140625;56.5;
4.149689;22.734375;12.40625;57.046875;
4.1598;22.6875;13.234375;57.546875;
4.169859;22.5625;14.53125;57.6875;
4.17993;22.40625;15.984375;58.125;
4.190054;22.171875;17.5625;58.234375;
4.200171;21.9375;17.5625;58.234375;
4.210276;21.6875;18.09375;58.390625;
4.22051;21.484375;17.390625;58.578125;
4.230832;21.328125;16.421875;58.71875;
4.240473;21.265625;14.46875;58.796875;
4.250553;21.25;12.4375;58.359375;
4.260707;21.25;9.609375;56.96875;
4.270918;21.265625;7.015625;55.40625;
